rep,delta_auroc,delta_auprc,delta_logloss_plus_risk_minus_quality
0,0.03273615207068936,0.07753289416509113,-0.03502354846025335
1,0.026613515517877606,0.06461786470045638,-0.03084292812505207
2,0.019615133118488948,0.05612899919107561,-0.024106604433385637
3,0.025345272498958238,0.06545006166129186,-0.030595294445645294
4,0.027604676054883814,0.06818145618003246,-0.03237788768472194
5,0.029608922655838588,0.07516882468903618,-0.03205876334293889
6,0.028984187003143536,0.07649982636765629,-0.03235644074879612
7,0.027122095598821616,0.07230537962987749,-0.03171757961450655
8,0.028485591582419256,0.06743118105634527,-0.031971083802151856
9,0.03348530246954462,0.07707096146951131,-0.03728922609920848
10,0.023930899780401083,0.05800544082900905,-0.02794837541585382
11,0.023478008308944975,0.0615131093351684,-0.0287866466398084
12,0.02752554808464569,0.06520071344163358,-0.029831706231506272
13,0.02680839894154352,0.07014039867414035,-0.029686272787123602
14,0.027338453561784548,0.06969839295356506,-0.030144801376499664
15,0.032938687423752167,0.0758827582642847,-0.03632175589181191
16,0.02564230726665717,0.07068165167453722,-0.027357425570027405
17,0.024114942462170164,0.06713341036952103,-0.026260760163351105
18,0.03225675003203132,0.0710854933219357,-0.035893940655063516
19,0.02953718930814242,0.07229968621788507,-0.0329123018255032
20,0.028551860082388858,0.07372794680761174,-0.03241643725471438
21,0.028407028147736657,0.07269597462106803,-0.03289506409572435
22,0.028615584153000917,0.07193411244434467,-0.03391749646781128
23,0.023089607677166724,0.0658644371457664,-0.027028028310641272
24,0.03975640975686734,0.08860440943186543,-0.043900019917146205
25,0.02618561240259132,0.06526744731807432,-0.03005360527233769
26,0.031533678721316516,0.07608411532684767,-0.03515639181160024
27,0.029007058555781562,0.07271563885215582,-0.032271251051201266
28,0.028538759112045065,0.07332949043436354,-0.032369135921196
29,0.02726142213779892,0.07223756188086272,-0.02933392168665888
30,0.024776007008218137,0.06640134091499417,-0.02855820240021517
31,0.0296020611106379,0.07595504849530033,-0.0332175777351863
32,0.022009158810375018,0.0642374917067342,-0.02579047468238721
33,0.02201167683873506,0.06364440509871272,-0.02418844482277316
34,0.031114204248382293,0.082291583200931,-0.035084774550960984
35,0.02673651862752302,0.07013172488030395,-0.02984867892123738
36,0.028889595681067082,0.06785601032608146,-0.03568079640779104
37,0.027596751658176544,0.07270141304527011,-0.03132657754152218
38,0.026386094469293853,0.06483838725676538,-0.030519753873311073
39,0.025015566738218142,0.06395689934123816,-0.029808147325551648
40,0.02309193910413776,0.061960766221588304,-0.025539869626009293
41,0.03079700544004005,0.07268013811606067,-0.035845754268300556
42,0.031364595683273655,0.07468641366557305,-0.03459637318829206
43,0.026620005276628,0.06906945247740448,-0.030319467749678974
44,0.02663821350842488,0.06812697614754315,-0.03019269713017858
45,0.029171674498516764,0.06941425138826873,-0.03138979193163016
46,0.027049272907194388,0.06759877231411948,-0.030024601933892336
47,0.03077008777430823,0.07216029515823075,-0.03384892349828045
48,0.03240201588977376,0.07173136655023615,-0.0331584771095737
49,0.027267852054177033,0.06974797785754538,-0.030759352180404986
50,0.028996777786494676,0.07054722344844166,-0.03187283398012669
51,0.03171140390556337,0.07972641300257921,-0.03650077546986763
52,0.03375181503897873,0.07942327622458001,-0.03680987239376421
53,0.025455324232438126,0.06171582491708194,-0.028344435458133643
54,0.03121383617137774,0.08023228835245022,-0.0334676710647695
55,0.02707184628237269,0.07397159690125099,-0.029621509881753827
56,0.020560432636666737,0.06203027611790446,-0.024270270614793255
57,0.027681958656195604,0.0738485191163446,-0.030296635110213632
58,0.02499959363203652,0.06342936423329204,-0.02830508729735204
59,0.032919738582122715,0.07384615408609696,-0.035094915011595285
60,0.030094557678101097,0.07393306200379435,-0.03236599475826368
61,0.034843111769870205,0.09039824293203325,-0.03704770802159213
62,0.028776247871053595,0.07398443165865776,-0.03155262058367719
63,0.025433080342274872,0.06798231059870985,-0.0272803196822341
64,0.02895934511059739,0.07097002676234321,-0.03250804554847331
65,0.030651521857396058,0.07530974726228079,-0.034679671971384884
66,0.03185009688187945,0.07259398368985481,-0.035520009061424884
67,0.03273334488312851,0.076774623395369,-0.034585236373469164
68,0.038239340299268565,0.08685826849401046,-0.04420064734745105
69,0.026450118017360524,0.06678114122536749,-0.03045036371350801
70,0.03243139585577104,0.08005242489910558,-0.03466488362358017
71,0.029260149672427183,0.0689679842655575,-0.03182406094120621
72,0.02826942419976375,0.07503302253077415,-0.033436391665671195
73,0.032809680413502296,0.08070992277900846,-0.03705252224285921
74,0.029656865339726113,0.06948159946098031,-0.032061652904300963
75,0.03395579653021319,0.08028361088935987,-0.03867423778715268
76,0.03345094166811924,0.08058190171689195,-0.037377984102345274
77,0.03268919298362616,0.07736468955574638,-0.03834019515441989
78,0.02711820881560234,0.06882642737652289,-0.03021053580834876
79,0.027111331830572793,0.06528594162085932,-0.03013128370678808
80,0.02965817566714779,0.0746881741516825,-0.03495792628135225
81,0.03013268971227656,0.07295806026305107,-0.032947547384319875
82,0.029601869939357983,0.07542213719139779,-0.03462352484987724
83,0.03203080697900851,0.07386408894002083,-0.036209428255702836
84,0.024603012583081618,0.06537055705580219,-0.029412200354962947
85,0.029395754059459378,0.0691890837864726,-0.033873148192971936
86,0.02767599998083181,0.06788054738222549,-0.030711563379466178
87,0.0276929126709321,0.07124414034488691,-0.029897371030133735
88,0.023368923506537076,0.06487634597985925,-0.027091658204477453
89,0.026864340100963946,0.06467484101319454,-0.028648268070645133
90,0.022710402374748195,0.062354537430925894,-0.027575652671351647
91,0.028731705732901847,0.06653959557677902,-0.03303763558143302
92,0.02712839530962763,0.0671386374449654,-0.030300515941458328
93,0.02827350809531437,0.07300884719564604,-0.030709696772074913
94,0.02296430786793824,0.06263594900586866,-0.02666270587403924
95,0.030512533760476135,0.06903886074398657,-0.03612142919110661
96,0.025311920058040283,0.0703396682887093,-0.02853601077910234
97,0.027810362793956434,0.07070924581502569,-0.03348367298448207
98,0.027751571490937987,0.06915007946271856,-0.030434326745971962
99,0.027376724029027577,0.07596090143423218,-0.0301516708796144
100,0.03234323853359067,0.07744873334063784,-0.03599857996506811
101,0.029313877186499138,0.07202344626560409,-0.0325792922585445
102,0.03032464048357164,0.07587937098557784,-0.03479925479167739
103,0.02576972572577818,0.06588412736765592,-0.028998879316067927
104,0.028114626791407193,0.0705869653330895,-0.032828297074471435
105,0.025043017942989354,0.06950412272894124,-0.02767534860024712
106,0.030482756596184934,0.07240906802621916,-0.03437408079618737
107,0.026148549251591713,0.06559093238754332,-0.028266045853027333
108,0.029898271811272248,0.07193872747946806,-0.03173574659713385
109,0.027868928001513527,0.06731527038571805,-0.03100843961443822
110,0.028416639464990956,0.07088017572375716,-0.032770054696056206
111,0.02719252518834192,0.06893818063685686,-0.030804111632548814
112,0.02757234893013094,0.07140087143147089,-0.03128632104202539
113,0.027028226814582168,0.06923877331015704,-0.032614120983320394
114,0.03144705107605095,0.07639202977378523,-0.037178551915722946
115,0.023932997266101874,0.0651115219748033,-0.026393665962622992
116,0.0250170181040984,0.06632388319135041,-0.027126050107749988
117,0.025468955631140044,0.07080754857393767,-0.03209221867994799
118,0.02638946327727787,0.06628691150963939,-0.02966164101219293
119,0.027063968255054083,0.0701104463981943,-0.030257397485396076
120,0.029694190869798964,0.07222992004691065,-0.03300009088158923
121,0.02698723903488165,0.06716632909262188,-0.029866310609899527
122,0.028478311316148086,0.07603788014813329,-0.031080594546277374
123,0.028169804871096327,0.07010844587804754,-0.03133722335649258
124,0.032746429110147135,0.0764858302188437,-0.03713016358259469
125,0.02741764308678951,0.06319998896976176,-0.03274355703329618
126,0.026930802781922725,0.06579368912423733,-0.030915543099281406
127,0.02489959829795385,0.06990611387766998,-0.028807404337339915
128,0.03302442390728477,0.08046290899484287,-0.034691538742899264
129,0.023903554849090236,0.06479007572322149,-0.029088150144273794
130,0.031798096914697815,0.07009376639901055,-0.03445969252591358
131,0.03925500130641746,0.0892850397363093,-0.042489615841031836
132,0.028663761175436342,0.0749561927429675,-0.031408856943966
