scope,heldout_action,metric,requested_reps,valid_reps,bootstrap_mean,ci95_low,ci95_high,ci_excludes_zero
MACRO_3_ACTION,,delta_auroc_shared_minus_source,2000,2000,0.013596057534032707,-0.0039507905471434426,0.0319508935083517,False
MACRO_3_ACTION,,delta_auprc_shared_minus_source,2000,2000,0.12127059774085154,0.0956090021480088,0.147939933869458,True
PER_ACTION,MEMO-SEG4-1STEP,delta_auroc_shared_minus_source,2000,2000,-0.009951174138123669,-0.044382774140607484,0.024420704295896045,False
PER_ACTION,MEMO-SEG4-1STEP,delta_auprc_shared_minus_source,2000,2000,0.11981482544238202,0.07008003870118898,0.17483735125774114,True
PER_ACTION,PL-CONF90,delta_auroc_shared_minus_source,2000,2000,0.06703690949073646,0.042476375035884105,0.09175463455376537,True
PER_ACTION,PL-CONF90,delta_auprc_shared_minus_source,2000,2000,0.20247797057548164,0.16194178790121871,0.24073711978723109,True
PER_ACTION,TENT1,delta_auroc_shared_minus_source,2000,2000,-0.01629756275051468,-0.03844455590094061,0.005212616485475899,False
PER_ACTION,TENT1,delta_auprc_shared_minus_source,2000,2000,0.041518997204691,0.0064378749969082345,0.07417115939162014,True
