batch_size,dino_exact_e2e_mean_ms_per_image,dino_exact_e2e_median_ms_per_image,post_dino_mean_ms_per_model_frame,post_dino_median_ms_per_model_frame,estimated_total_mean_ms_per_image,estimated_total_median_ms_per_image,estimated_total_images_per_second_from_mean,peak_cuda_allocated_MiB,incremental_peak_cuda_MiB,dino_parameters,non_dino_safety_artifact_MiB_pca_plus_head
1,22.910677,22.8469,1.3655934,1.28755,24.2762704,24.13445,41.192488941793954,350.7587890625,11.591796875,86580480,0.386566162109375
4,19.5039655,19.4229125,1.3655934,1.28755,20.8695589,20.7104625,47.91668117144536,383.6279296875,44.4609375,86580480,0.386566162109375
8,19.261414875,19.25609375,1.3655934,1.28755,20.627008275,20.54364375,48.48012793071902,428.0888671875,88.921875,86580480,0.386566162109375
16,19.04161175,19.085603125,1.3655934,1.28755,20.407205150000003,20.373153125,49.00230054285508,517.0107421875,177.84375,86580480,0.386566162109375
