comparison,metric,full_point,reference_point,raw_point_delta,valid_reps,bootstrap_mean_delta,ci95_low,ci95_high,ci_excludes_zero
FROZEN_FULL_TRANSITION_SAFETTA - CHANGE_MAGNITUDE_ONLY,AUROC,0.6402272686750783,0.4925858349330496,0.1476414337420287,2000,0.14661720896323885,0.07749496276750116,0.21982543407601557,True
FROZEN_FULL_TRANSITION_SAFETTA - CHANGE_MAGNITUDE_ONLY,AUPRC,0.4719257785671527,0.3659226194091418,0.1060031591580109,2000,0.10640855422575092,0.03819441951419461,0.17435640227863333,True
FROZEN_FULL_TRANSITION_SAFETTA - SOURCE_PLUS_SIMPLE_MASK_CHANGE,AUROC,0.6402272686750783,0.4809668427840412,0.15926042589103706,2000,0.15935695211261053,0.11260144126543019,0.20417268051022727,True
FROZEN_FULL_TRANSITION_SAFETTA - SOURCE_PLUS_SIMPLE_MASK_CHANGE,AUPRC,0.4719257785671527,0.3447404296353786,0.12718534893177408,2000,0.12607353654640602,0.08145143908393516,0.17274684361626402,True
FROZEN_FULL_TRANSITION_SAFETTA - SOURCE_STATE,AUROC,0.6402272686750783,0.5257133347993272,0.11451393387575104,2000,0.11450516843206375,0.07331798721998382,0.15670205838062698,True
FROZEN_FULL_TRANSITION_SAFETTA - SOURCE_STATE,AUPRC,0.4719257785671527,0.3675295307820051,0.10439624778514756,2000,0.10424167485174758,0.057892023365404416,0.15260684659981713,True
