level,group,families,frozen_threshold,harm_prevalence,auroc,auprc,recall,fpr,specificity,empirical_ppv,npv,ppv_at_1pct,oracle_target_fpr_at_r90_diagnostic,oracle_target_recall_diagnostic,rows,cases,harm,nonharm,class_degenerate,oracle_target_threshold_diagnostic
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,3.0,0.300584763193734,0.34051348999129677,0.6674877150153855,0.5256955733480133,0.6965139189410586,0.4441717749954995,0.5558282250045005,0.44452106408493813,0.7760165805615512,0.016107032484360583,0.8621556086823089,0.9004064606956472,,,,,,
SECONDARY_POOLED,ALL_ROWS,,0.300584763193734,0.34051348999129677,0.6533861258768844,0.521610391711625,0.6888178913738019,0.4587044979654679,0.541295502034532,0.43673193787981096,0.7711107629641235,0.014941637231969626,0.9359947212141208,0.9001064962726305,13788.0,1532.0,4695.0,9093.0,0.0,0.0414364142097175
SECONDARY_FAMILY,DeepLabV3-R50,,0.300584763193734,0.3302872062663185,0.6164190853359427,0.49178303847361804,0.642292490118577,0.46393762183235865,0.5360623781676414,0.40574282147315854,0.7523939808481532,0.013791352654379396,0.9431448992852501,0.9005270092226614,4596.0,1532.0,1518.0,3078.0,0.0,0.0325447657095373
SECONDARY_FAMILY,PraNet,,0.300584763193734,0.48977371627502175,0.7263516143973918,0.7414917200141177,0.6934695690804087,0.33560767590618334,0.6643923240938167,0.6648211243611585,0.6930604982206405,0.020445094027509908,0.8196162046908315,0.9000444247001332,4596.0,1532.0,2251.0,2345.0,0.0,0.0737175643548891
SECONDARY_FAMILY,SegFormer-B0,,0.300584763193734,0.20147954743255003,0.6596924453128219,0.34381196155630434,0.7537796976241901,0.5329700272479564,0.4670299727520436,0.2629992464204974,0.88259526261586,0.014084650771192446,0.8237057220708447,0.9006479481641468,4596.0,1532.0,926.0,3670.0,0.0,0.1438847433021625
SECONDARY_CENTER,C1,,0.300584763193734,0.3528645833333333,0.70496698930772,0.5797539121532924,0.7847478474784748,0.5144198524480215,0.48558014755197854,0.45409252669039146,0.8053392658509455,0.015175260944892419,0.7344064386317908,0.9003690036900369,2304.0,256.0,813.0,1491.0,0.0,0.1377332553653639
SECONDARY_CENTER,C2,,0.300584763193734,0.2823920265780731,0.5642298071491971,0.36435580658983313,0.45359477124183006,0.34156378600823045,0.6584362139917695,0.34322453016815035,0.7538280329799765,0.013236528240469956,0.9768518518518519,0.9019607843137255,2709.0,301.0,765.0,1944.0,0.0,0.0317019205891958
SECONDARY_CENTER,C3,,0.300584763193734,0.30994152046783624,0.7410399011299436,0.5580959206710223,0.8018867924528302,0.4484463276836158,0.5515536723163842,0.44541484716157204,0.8610804851157663,0.017741614522298627,0.6931497175141242,0.9001572327044025,4104.0,456.0,1272.0,2832.0,0.0,0.1624272555805908
SECONDARY_CENTER,C4,,0.300584763193734,0.40479686735193343,0.4461075224336537,0.42576104168157974,0.4969770253929867,0.5921052631578947,0.40789473684210525,0.363395225464191,0.543859649122807,0.008406896367965625,0.9473684210526315,0.9032648125755743,2043.0,227.0,827.0,1216.0,0.0,0.0302127789900287
SECONDARY_CENTER,C5,,0.300584763193734,0.42592592592592593,0.7615065248935974,0.6800958628996632,0.850383631713555,0.49335863377609107,0.5066413662239089,0.5611814345991561,0.8202764976958525,0.017112783328006777,0.6005692599620494,0.9002557544757033,1836.0,204.0,782.0,1054.0,0.0,0.2337869211982217
SECONDARY_CENTER,C6,,0.300584763193734,0.29797979797979796,0.637125045726131,0.48448330012989893,0.6483050847457628,0.4136690647482014,0.5863309352517986,0.39947780678851175,0.7970660146699267,0.015583679014462554,0.960431654676259,0.902542372881356,792.0,88.0,236.0,556.0,0.0,0.0297950883732374
SECONDARY_STATE,DeepLabV3-R50::20260817,,0.300584763193734,0.3328981723237598,0.6170618932504508,0.4989462929784738,0.6588235294117647,0.46868884540117417,0.5313111545988258,0.41226993865030676,0.7573221757322176,0.013999941781064023,0.9461839530332681,0.9,1532.0,1532.0,510.0,1022.0,0.0,0.0336094216698428
SECONDARY_STATE,DeepLabV3-R50::20260818,,0.300584763193734,0.3276762402088773,0.595950179863072,0.48360439203803673,0.5956175298804781,0.4553398058252427,0.5446601941747573,0.3893229166666667,0.7342931937172775,0.013040551767310862,0.9359223300970874,0.900398406374502,1532.0,1532.0,502.0,1030.0,0.0,0.0314982762383062
SECONDARY_STATE,DeepLabV3-R50::20260819,,0.300584763193734,0.3302872062663185,0.6360997465116458,0.49575854009797027,0.6719367588932806,0.4678362573099415,0.5321637426900585,0.4146341463414634,0.7668539325842697,0.01430026121220171,0.942495126705653,0.9011857707509882,1532.0,1532.0,506.0,1026.0,0.0,0.0336094216698428
SECONDARY_STATE,PraNet::20260817,,0.300584763193734,0.45430809399477806,0.7125250921190123,0.7170371191255871,0.6436781609195402,0.2930622009569378,0.7069377990430622,0.6464646464646465,0.7044100119189511,0.02170420876021847,0.8504784688995215,0.9008620689655172,1532.0,1532.0,696.0,836.0,0.0,0.0341678923291624
SECONDARY_STATE,PraNet::20260818,,0.300584763193734,0.46932114882506526,0.7232985542650976,0.7203830041182824,0.6898470097357441,0.33087330873308735,0.6691266912669127,0.6483660130718955,0.7092568448500652,0.020625507616335727,0.8683886838868389,0.9012517385257302,1532.0,1532.0,719.0,813.0,0.0,0.0382001140795075
SECONDARY_STATE,PraNet::20260819,,0.300584763193734,0.5456919060052219,0.7329889182203158,0.7810991721066747,0.7380382775119617,0.3922413793103448,0.6077586206896551,0.6932584269662921,0.6588785046728972,0.018651490852763925,0.7413793103448276,0.9007177033492823,1532.0,1532.0,836.0,696.0,0.0,0.1410344912839067
SECONDARY_STATE,SegFormer-B0::20260820,,0.300584763193734,0.206266318537859,0.6761247709860094,0.35716448864531936,0.7753164556962026,0.5386513157894737,0.4613486842105263,0.2722222222222222,0.8876582278481012,0.014330696995614014,0.7171052631578947,0.9018987341772152,1532.0,1532.0,316.0,1216.0,0.0,0.1957367249892847
