rep,safetta_pooled_auroc,safetta_pooled_auprc,safetta_macro3_auroc,safetta_macro3_auprc,sictta_ccd_pooled_auroc,sictta_ccd_pooled_auprc,sictta_ccd_macro3_auroc,sictta_ccd_macro3_auprc,tegda_adic_pooled_auroc,tegda_adic_pooled_auprc,tegda_adic_macro3_auroc,tegda_adic_macro3_auprc,mc_dropout_pooled_auroc,mc_dropout_pooled_auprc,mc_dropout_macro3_auroc,mc_dropout_macro3_auprc,delta_safetta_minus_sictta_ccd_pooled_auroc,delta_safetta_minus_sictta_ccd_pooled_auprc,delta_safetta_minus_sictta_ccd_macro3_auroc,delta_safetta_minus_sictta_ccd_macro3_auprc,delta_safetta_minus_tegda_adic_pooled_auroc,delta_safetta_minus_tegda_adic_pooled_auprc,delta_safetta_minus_tegda_adic_macro3_auroc,delta_safetta_minus_tegda_adic_macro3_auprc,delta_safetta_minus_mc_dropout_pooled_auroc,delta_safetta_minus_mc_dropout_pooled_auprc,delta_safetta_minus_mc_dropout_macro3_auroc,delta_safetta_minus_mc_dropout_macro3_auprc
0,0.6178475501160265,0.5013588735788832,0.6180656055514347,0.5045044071140747,0.6418240288222908,0.453834720634507,0.6418753735819823,0.4548731005498736,0.599137029485453,0.38514079356576597,0.5991470690063817,0.3877830064293144,0.4424389315889771,0.3207859721460145,0.44218966292941153,0.3247492831157787,-0.023976478706264293,0.047524152944376175,-0.023809768030547573,0.049631306564201116,0.018710520630573546,0.11621808001311723,0.018918536545053044,0.11672140068476033,0.17540861852704942,0.1805729014328687,0.17587594262202322,0.17975512399829602
1,0.615059895807459,0.4784555857339202,0.6151462904445081,0.4812868381855154,0.644680693689606,0.4444273598666017,0.644830285262128,0.44239561347289985,0.5925781306060898,0.369079785098954,0.592158886583789,0.37124844802598767,0.4298892830056203,0.30179884317867844,0.4294507262867844,0.3043569286193489,-0.029620797882147,0.03402822586731852,-0.029683994817619963,0.038891224712615524,0.02248176520136924,0.10937580063496621,0.02298740386071907,0.11003839015952771,0.18517061280183872,0.17665674255524177,0.1856955641577237,0.1769299095661665
2,0.6097314059760397,0.47239237217832497,0.6093146288418289,0.4756559517368864,0.6276779847823545,0.4493149629270612,0.6283372420148328,0.4489619148809216,0.594266582762894,0.37743011738914634,0.5943496074223309,0.38027205939844216,0.45181118701062006,0.3217702737818333,0.4505948997511147,0.32354152890763804,-0.017946578806314784,0.02307740925126378,-0.01902261317300391,0.02669403685596483,0.015464823213145684,0.09496225478917864,0.01496502141949796,0.09538389233844424,0.15792021896541963,0.15062209839649165,0.15871972909071413,0.15211442282924836
3,0.596905637254902,0.483306681271781,0.5969598097720666,0.4848565546743404,0.6307479958129085,0.4627897938899831,0.6312216504520994,0.4625373344489471,0.5873829827069716,0.39326956476486497,0.587430088699131,0.39624684122029485,0.45186376633986924,0.3373061403375947,0.451459859214814,0.3409329755809623,-0.03384235855800655,0.02051688738179791,-0.034261840680032796,0.022319220225393288,0.009522654547930332,0.09003711650691604,0.009529721072935593,0.08860971345404556,0.14504187091503273,0.1460005409341863,0.14549995055725262,0.1439235790933781
4,0.6336916456981628,0.49886016471212996,0.6329432872943602,0.5007583890667053,0.6288954017115441,0.4470936750454001,0.6297933447964095,0.44852447833892967,0.6260144417557627,0.4072619612185925,0.6256144358673906,0.40959903313803175,0.44616948549772206,0.3350145928712981,0.4451141931925286,0.3366919998395397,0.004796243986618709,0.051766489666729865,0.003149942497950753,0.05223391072777567,0.007677203942400124,0.09159820349353748,0.007328851426969596,0.09115935592867358,0.18752216020044077,0.16384557184083187,0.18782909410183163,0.16406638922716565
5,0.5893907587991226,0.4798815350822047,0.589069741901527,0.48136714540342895,0.6320508211722203,0.4796832758594401,0.6317647245788292,0.4789567018932184,0.5926371647912861,0.40348815724003406,0.5927349228079359,0.4056672206726908,0.45467339856986666,0.3450011175224382,0.45545273328186714,0.34879026177263867,-0.04266006237309772,0.0001982592227646185,-0.042694982677302096,0.0024104435102105803,-0.0032464059921635258,0.07639337784217065,-0.0036651809064088825,0.07569992473073817,0.13471736022925596,0.13488041755976649,0.13361700861965992,0.1325768836307903
6,0.6311030588754794,0.5185239224720161,0.6314238990050388,0.5195806780444904,0.6647553429938516,0.4814811217127976,0.6644966177554549,0.4803340530958553,0.6084443492029478,0.39423741389511724,0.608615116945228,0.3976246060187058,0.42007798979833694,0.30200736486982604,0.4207156561700079,0.3046891333090086,-0.03365228411837229,0.03704280075921845,-0.033072718750416064,0.03924662494863507,0.022658709672531585,0.12428650857689882,0.02280878205981085,0.12195607202578457,0.2110250690771424,0.21651655760219002,0.21070824283503092,0.21489154473548178
7,0.5978851686625681,0.47440990198657257,0.5978369585224076,0.476055441282877,0.6499063504874093,0.4704249165999091,0.650141071942148,0.4686925797050348,0.5900916044538458,0.3892768818119633,0.5905417926254088,0.3926585072088569,0.4290739471330832,0.3042680408989925,0.4283301886232776,0.3074460830334283,-0.05202118182484117,0.0039849853866634755,-0.052304113419740395,0.007362861577842217,0.007793564208722348,0.08513302017460928,0.007295165896998745,0.0833969340740201,0.1688112215294849,0.17014186108758006,0.16950676989913,0.16860935824944873
8,0.6097787451511998,0.48457744251833934,0.610462644889163,0.4866967455935945,0.6377013637631674,0.47272238824895746,0.6377134641372154,0.47037649186462654,0.6122857485317033,0.4101954321632405,0.6125679917478614,0.41177984363046033,0.45859164431206706,0.3512354981308129,0.45865081447922984,0.3536276586019187,-0.027922618611967653,0.011855054269381882,-0.027250819248052394,0.01632025372896795,-0.0025070033805034697,0.07438201035509884,-0.0021053468586983426,0.07491690196313416,0.15118710083913273,0.13334194438752645,0.15181183040993318,0.1330690869916758
9,0.6096404584861049,0.480773585168397,0.6093723949466717,0.4836213816713964,0.6301354812733441,0.448206947449887,0.6309231963180354,0.44909144302029946,0.6002582839324264,0.3951734770747761,0.600630309573749,0.39826459358362837,0.45798260117191514,0.3370539022545641,0.45712902044628495,0.33954569190896805,-0.020495022787239137,0.03256663771851004,-0.02155080137136367,0.034529938651096936,0.009382174553678513,0.0856001080936209,0.008742085372922759,0.08535678808776803,0.1516578573141898,0.1437196829138329,0.15224337450038677,0.14407568976242835
