model_family,training_seed,model_state_id,checkpoint_path,checkpoint_sha256,checkpoint_state_container,checkpoint_state_key_count,model_class,module_count,exact_nn_dropout_count,exact_nn_dropout_p,dropout2d_count,alpha_dropout_count,all_dropout_like_count,batchnorm2d_count,layernorm_count,strict_load_missing_count,strict_load_unexpected_count,official_tegda_native_nn_dropout_supported,exact_nn_dropout_modules_json,other_dropout_like_modules_json
DeepLabV3-R50,20260817,DeepLabV3-R50::20260817,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260817_v1\checkpoints\best_source_val_dice.pt,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,model_state_dict,362,DeepLabV3,183,1,0.5,0,0,1,60,0,0,0,True,"[{""name"": ""classifier.0.project.3"", ""type"": ""Dropout"", ""p"": 0.5}]",[]
DeepLabV3-R50,20260818,DeepLabV3-R50::20260818,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260818_v1\checkpoints\best_source_val_dice.pt,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,model_state_dict,362,DeepLabV3,183,1,0.5,0,0,1,60,0,0,0,True,"[{""name"": ""classifier.0.project.3"", ""type"": ""Dropout"", ""p"": 0.5}]",[]
DeepLabV3-R50,20260819,DeepLabV3-R50::20260819,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260819_v1\checkpoints\best_source_val_dice.pt,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,model_state_dict,362,DeepLabV3,183,1,0.5,0,0,1,60,0,0,0,True,"[{""name"": ""classifier.0.project.3"", ""type"": ""Dropout"", ""p"": 0.5}]",[]
PraNet,20260817,PraNet::20260817,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260817_v1\checkpoints\best_source_val_dice.pt,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,model_state_dict,922,PraNet,482,0,,0,0,0,153,0,0,0,False,[],[]
PraNet,20260818,PraNet::20260818,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260818_v1\checkpoints\best_source_val_dice.pt,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,model_state_dict,922,PraNet,482,0,,0,0,0,153,0,0,0,False,[],[]
PraNet,20260819,PraNet::20260819,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260819_v1\checkpoints\best_source_val_dice.pt,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,model_state_dict,922,PraNet,482,0,,0,0,0,153,0,0,0,False,[],[]
