dataset_hint,csv,score_column,delta_column,family_column,cluster_column,rows,harm_margin,harm_prevalence,pooled_auroc,pooled_auprc,macro_family_auroc,macro_family_auprc,priority
PROMISE12,F:\MEDSEG_SAFETTA\outputs\Q1X_CM6_promise12_gt_reveal_locked_policy_evaluation_fix1_v1\CM6_PROMISE12_OUTCOMES.csv,risk_score,delta_dice,family,,4131,0.01,0.35657225853304286,0.5561722492193315,0.3855334983136343,0.5274376670631041,0.3616039057402241,5
PROMISE12,F:\MEDSEG_SAFETTA\outputs\Q1X_CM6_promise12_gt_reveal_locked_policy_evaluation_fix1_v1\CM6_PROMISE12_OUTCOMES.csv,risk_score,delta_dice,family,,4131,0.02,0.3171145001210361,0.5962301549718442,0.3718676449797528,0.5723944174388094,0.346431077739596,5
PROMISE12,F:\MEDSEG_SAFETTA\outputs\Q1X_CM6_promise12_gt_reveal_locked_policy_evaluation_fix1_v1\CM6_PROMISE12_OUTCOMES.csv,risk_score,delta_dice,family,,4131,0.05,0.25659646574679257,0.6552166340015853,0.3465907592477119,0.6480286637731116,0.32758015637720933,5
PolypGen,F:\MEDSEG_SAFETTA\outputs\Q1_R10L3C_polypgen_gt_reveal_prospective_external_evaluation_fix1_v1\R10L3C_LOCKED_SCORE_GT_EVALUATION_PANEL.csv,frozen_safety_probability,delta_dice,model_family,sample_id,13788,0.01,0.403031621700029,0.6540607958514433,0.5817586064774634,0.6668473277804351,0.5855526423422387,0
PolypGen,F:\MEDSEG_SAFETTA\outputs\Q1_R10L3C_polypgen_gt_reveal_prospective_external_evaluation_fix1_v1\R10L3C_LOCKED_SCORE_GT_EVALUATION_PANEL.csv,frozen_safety_probability,delta_dice,model_family,sample_id,13788,0.02,0.34051348999129677,0.6533861258768844,0.521610391711625,0.6674877150153855,0.5256955733480133,0
PolypGen,F:\MEDSEG_SAFETTA\outputs\Q1_R10L3C_polypgen_gt_reveal_prospective_external_evaluation_fix1_v1\R10L3C_LOCKED_SCORE_GT_EVALUATION_PANEL.csv,frozen_safety_probability,delta_dice,model_family,sample_id,13788,0.05,0.2634899912967798,0.6388891802711699,0.4259498351096265,0.6511127203309374,0.42945096196545157,0
UNRESOLVED,F:\MEDSEG_SAFETTA\outputs\Q1_R08D0p5_source_risk_replay_v1\source_risk_replay_table.csv,risk_score,delta_dice,architecture,,3960,0.01,0.12525252525252525,0.6845398290248081,0.3224918039204004,0.5436298691186233,0.20372656873313136,5
UNRESOLVED,F:\MEDSEG_SAFETTA\outputs\Q1_R08D0p5_source_risk_replay_v1\source_risk_replay_table.csv,risk_score,delta_dice,architecture,,3960,0.02,0.04494949494949495,0.7825744656830999,0.27062710717040556,0.5629794899484585,0.1385327598294195,5
UNRESOLVED,F:\MEDSEG_SAFETTA\outputs\Q1_R08D0p5_source_risk_replay_v1\source_risk_replay_table.csv,risk_score,delta_dice,architecture,,3960,0.05,0.012373737373737374,0.9710653885691326,0.24257697535425124,0.9280174697731177,0.2676589544535224,5
