action,rows,frames,physical_cases,states,harm_rows,neutral_rows,benefit_rows,harm_prevalence,benefit_prevalence,source_dice_mean,source_dice_median,adapted_dice_mean,adapted_dice_median,delta_dice_mean,delta_dice_median,delta_dice_min,delta_dice_max,harm_evaluable
TENT1,8820,980,49,9,1992,4272,2556,0.22585034013605443,0.2897959183673469,0.6870084111635587,0.8879886060984363,0.7263974611281063,0.8830694256082356,0.0393890499645476,0.0005241678343363976,-0.9200935971235211,0.9858218366645011,True
PL,8820,980,49,9,1063,6738,1019,0.12052154195011337,0.1155328798185941,0.6870084111635587,0.8879886060984363,0.6899956861828027,0.888044097535775,0.00298727501924393,0.0,-0.8516460905349794,0.9405512788676434,True
