action,rows,frames,physical_cases,states,harm_rows,neutral_rows,benefit_rows,harm_prevalence,benefit_prevalence,source_dice_mean,source_dice_median,adapted_dice_mean,adapted_dice_median,delta_dice_mean,delta_dice_median,delta_dice_min,delta_dice_max,harm_evaluable,model_family
TENT1,2940,980,49,3,474,1220,1246,0.16122448979591836,0.4238095238095238,0.6378418911485607,0.8785434749613221,0.7488749972873134,0.9051480058583906,0.11103310613875267,0.008164721702785371,-0.8659355926881365,0.984603441583646,True,DeepLabV3-R50
PL,2940,980,49,3,350,2199,391,0.11904761904761904,0.13299319727891157,0.6378418911485607,0.8785434749613221,0.6480970911498226,0.8772415968983602,0.010255200001261913,0.0,-0.41986184568288565,0.849675378724821,True,DeepLabV3-R50
TENT1,2940,980,49,3,967,1088,885,0.32891156462585036,0.3010204081632653,0.6638582254817003,0.8719331686051285,0.6725497659127412,0.8228026123844072,0.008691540431040898,0.0,-0.9200935971235211,0.9858218366645011,True,PraNet
PL,2940,980,49,3,325,2307,308,0.11054421768707483,0.10476190476190476,0.6638582254817003,0.8719331686051285,0.6680212823699349,0.873129718342954,0.004163056888234536,0.0,-0.8149476485220107,0.9405512788676434,True,PraNet
TENT1,2940,980,49,3,551,1964,425,0.18741496598639457,0.1445578231292517,0.7593251168604153,0.9069083747079296,0.7577676201842646,0.897374995891963,-0.001557496676150755,-3.588589409742049e-06,-0.8382015970711505,0.8236651285431773,True,SegFormer-B0
PL,2940,980,49,3,388,2232,320,0.13197278911564625,0.10884353741496598,0.7593251168604153,0.9069083747079296,0.7538686850286508,0.908240815594036,-0.005456431831764659,0.0,-0.8516460905349794,0.45099076058369464,True,SegFormer-B0
