panel,margin,metric,valid_reps,requested_reps,bootstrap_mean,ci95_low,ci95_high
MRI_PROMISE12,-0.01,pooled_auroc,2000,2000,0.6927178990012176,0.6697509320590691,0.7144706815073988
MRI_PROMISE12,-0.01,pooled_auprc,2000,2000,0.39301487375221394,0.35576632470059893,0.42892615987482746
MRI_PROMISE12,-0.01,macro_cell_auroc,2000,2000,0.7355851173269325,0.7160913033456815,0.7537413753077087
MRI_PROMISE12,-0.01,macro_cell_auprc,2000,2000,0.373913221052249,0.34155587047947655,0.4072172788832441
MRI_PROMISE12,-0.02,pooled_auroc,2000,2000,0.6953263080652722,0.6680192857278705,0.7215280870590695
MRI_PROMISE12,-0.02,pooled_auprc,2000,2000,0.38183689910786894,0.33621329898791086,0.4256521507410367
MRI_PROMISE12,-0.02,macro_cell_auroc,2000,2000,0.739568775004773,0.7140908455438548,0.7629822952118351
MRI_PROMISE12,-0.02,macro_cell_auprc,2000,2000,0.35176126343302494,0.3133114487963813,0.39338772896033447
MRI_PROMISE12,-0.05,pooled_auroc,2000,2000,0.6798361555316501,0.6393091111836042,0.7172751323375416
MRI_PROMISE12,-0.05,pooled_auprc,2000,2000,0.3836342214729763,0.3248409558287524,0.4383336115447815
MRI_PROMISE12,-0.05,macro_cell_auroc,2000,2000,0.7361274973472403,0.7008073117223531,0.7679380454783256
MRI_PROMISE12,-0.05,macro_cell_auprc,2000,2000,0.3439649495332301,0.2854320536381323,0.40558731938933734
POLYPGEN_MEMO,-0.01,pooled_auroc,2000,2000,0.7597729797662303,0.7273904834587754,0.7905448603355096
POLYPGEN_MEMO,-0.01,pooled_auprc,2000,2000,0.29640071013475927,0.2528037830294556,0.34036766371957716
POLYPGEN_MEMO,-0.01,macro_cell_auroc,2000,2000,0.7582815155034025,0.7259814941015261,0.7893035676971374
POLYPGEN_MEMO,-0.01,macro_cell_auprc,2000,2000,0.30289885167407826,0.25953681470729706,0.34578840868776095
POLYPGEN_MEMO,-0.02,pooled_auroc,2000,2000,0.7435474584055343,0.6999632024705913,0.7852790219038381
POLYPGEN_MEMO,-0.02,pooled_auprc,2000,2000,0.2589363762312741,0.2084815294386325,0.3140843126372619
POLYPGEN_MEMO,-0.02,macro_cell_auroc,2000,2000,0.7432311062857115,0.6999285100281976,0.7850096364441195
POLYPGEN_MEMO,-0.02,macro_cell_auprc,2000,2000,0.2689379889176383,0.2188973655097778,0.3232477991574276
POLYPGEN_MEMO,-0.05,pooled_auroc,2000,2000,0.6775340720669667,0.6112508707128497,0.7408992468782535
POLYPGEN_MEMO,-0.05,pooled_auprc,2000,2000,0.19926532023470606,0.1465723905353032,0.26100962856219195
POLYPGEN_MEMO,-0.05,macro_cell_auroc,2000,2000,0.6766225479890763,0.6108132354819462,0.7402431245468883
POLYPGEN_MEMO,-0.05,macro_cell_auprc,2000,2000,0.2124716721991856,0.159029877636727,0.2748277155184383
