panel,margin,is_original_primary_margin,rows,clusters,harm_n,harm_prevalence,pooled_auroc,pooled_auprc,macro_cell_auroc,macro_cell_auprc
MRI_PROMISE12,-0.01,False,8262,50,1478,0.17889130961026387,0.6929948003102101,0.3924865062506298,0.735624469691791,0.37068474554894454
MRI_PROMISE12,-0.02,True,8262,50,1157,0.14003873154199953,0.6954289193399172,0.381274507806927,0.7394704339796653,0.3479115520459559
MRI_PROMISE12,-0.05,False,8262,50,764,0.0924715565238441,0.6798395802580514,0.3827346214129745,0.736442817104462,0.3385544099416496
POLYPGEN_MEMO,-0.01,False,4596,1532,450,0.097911227154047,0.7595320791123975,0.2938437487111486,0.7580274256311409,0.2971942807332256
POLYPGEN_MEMO,-0.02,True,4596,1532,301,0.0654917319408181,0.7432377136359591,0.2554579725474396,0.7428628732365895,0.2613857342537213
POLYPGEN_MEMO,-0.05,False,4596,1532,179,0.03894691035683203,0.676746647981453,0.1942507148174278,0.6759074191616801,0.2024147052404585
