replicate,scope,score,auroc,auprc,valid_strata
11,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6673257690554508,0.5314952949823953,
11,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5089040420839955,0.39838637664978427,
11,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5089040420839955,0.39838637664978427,
12,OVERALL,SOURCE_STATE,0.4971153846153846,0.3450245222180347,
12,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.43680555555555556,0.30219125220194387,
12,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.5837250712250712,0.41294237450602767,
12,OVERALL,CHANGE_MAGNITUDE_ONLY,0.530519943019943,0.4000733608537965,
12,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.530519943019943,0.4000733608537965,
13,OVERALL,SOURCE_STATE,0.5400238521168753,0.3722554075632535,
13,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5057841383422779,0.36693821996707304,
13,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6545080500894453,0.48598552166590947,
13,OVERALL,CHANGE_MAGNITUDE_ONLY,0.47397734048896834,0.3441597591088223,
13,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.47397734048896834,0.3441597591088223,
14,OVERALL,SOURCE_STATE,0.5200673938104106,0.3854843703922841,
14,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5067364251721793,0.38059620069517897,
14,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6761431822884337,0.5206054500063758,
14,OVERALL,CHANGE_MAGNITUDE_ONLY,0.511318021932547,0.38713124617276884,
14,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.511318021932547,0.38713124617276884,
15,OVERALL,SOURCE_STATE,0.5228869047619047,0.362029531638017,
15,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4956130952380952,0.35946451457467044,
15,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6417321428571428,0.4857391000581742,
15,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5076636904761904,0.3701883740174431,
15,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5076636904761904,0.3701883740174431,
16,OVERALL,SOURCE_STATE,0.5012926703751808,0.36033762072214404,
16,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.46394613669223417,0.32916630322281326,
16,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6274903815521847,0.47287607501045686,
16,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4893308746048472,0.36447498805885237,
16,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4893308746048472,0.36447498805885237,
17,OVERALL,SOURCE_STATE,0.5570522390193959,0.40011957571116097,
17,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.49645085825740287,0.3456065096944413,
17,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6580354742579977,0.5101377693305225,
17,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4905365753213103,0.34825235793796405,
17,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4905365753213103,0.34825235793796405,
18,OVERALL,SOURCE_STATE,0.5609349607961757,0.39405004522763193,
18,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5127456911379191,0.3747947805270996,
18,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6276882198735514,0.44342554246972005,
18,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4664661993048883,0.3454665450819169,
18,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4664661993048883,0.3454665450819169,
19,OVERALL,SOURCE_STATE,0.5137946246776164,0.3860961191616292,
19,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4365978914981223,0.32002634664101115,
19,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6103230623048731,0.4702686917578808,
19,OVERALL,CHANGE_MAGNITUDE_ONLY,0.47223541921180034,0.3713550225519324,
19,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.47223541921180034,0.3713550225519324,
20,OVERALL,SOURCE_STATE,0.5062384528636898,0.3349292810915923,
20,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4808827410802121,0.3247729466956707,
20,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6138217722004943,0.4245346764532578,
20,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5143544400988556,0.3519022017404794,
20,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5143544400988556,0.3519022017404794,
21,OVERALL,SOURCE_STATE,0.531892325244365,0.3716116111214739,
21,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.46854552742746136,0.31748355634936987,
21,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6270111929943573,0.4530068360806747,
21,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4942369954672998,0.3625099817185896,
21,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4942369954672998,0.3625099817185896,
22,OVERALL,SOURCE_STATE,0.5421740268117398,0.36551301100939937,
22,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.48578174537975183,0.319399951351906,
22,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6598815804686882,0.4481862903182733,
22,OVERALL,CHANGE_MAGNITUDE_ONLY,0.493102336138647,0.34025641613886676,
22,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.493102336138647,0.34025641613886676,
23,OVERALL,SOURCE_STATE,0.5342875532534404,0.3798045848304611,
23,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4950623716553775,0.3512106566019956,
23,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6380543721457688,0.45379596062371963,
23,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5078002881049437,0.36613393817447426,
23,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5078002881049437,0.36613393817447426,
24,OVERALL,SOURCE_STATE,0.5508774973255848,0.3932245361294749,
24,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.48275941827854396,0.3525416719220468,
24,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6861248445947901,0.5434649062492463,
24,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5063867927255905,0.3834887482678975,
24,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5063867927255905,0.3834887482678975,
25,OVERALL,SOURCE_STATE,0.5025664251207729,0.32524331790159017,
25,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.49204911433172294,0.3420405848057515,
25,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6176466888083736,0.43533633606778266,
25,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5293126006441224,0.36682175704301173,
25,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5293126006441224,0.36682175704301173,
26,OVERALL,SOURCE_STATE,0.5203368927658295,0.3902834391439151,
26,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4749165288013235,0.35460211261568486,
26,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6386283651676945,0.4842993272569751,
26,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5284915024815762,0.4151045747252088,
26,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5284915024815762,0.4151045747252088,
27,OVERALL,SOURCE_STATE,0.518109881626351,0.3647388110021909,
27,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.41877895007720023,0.30510840789841254,
27,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6441006176016468,0.47489231477899585,
27,OVERALL,CHANGE_MAGNITUDE_ONLY,0.44992601646937724,0.3600307142184606,
27,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.44992601646937724,0.3600307142184606,
28,OVERALL,SOURCE_STATE,0.5393418185987846,0.3760813325387961,
28,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.5089496617360394,0.38864273617455813,
28,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6828976034858389,0.5274174722970781,
28,OVERALL,CHANGE_MAGNITUDE_ONLY,0.4996130030959752,0.3692537035605341,
28,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.4996130030959752,0.3692537035605341,
29,OVERALL,SOURCE_STATE,0.5120916981382098,0.36415809786491615,
29,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.4649596742619998,0.3313030270118751,
29,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6326292140245628,0.471667773167829,
29,OVERALL,CHANGE_MAGNITUDE_ONLY,0.5079115544231823,0.3775033721623479,
29,OVERALL,CHANGE_MAGNITUDE_IOU_ONLY,0.5079115544231823,0.3775033721623479,
30,OVERALL,SOURCE_STATE,0.49956043691366503,0.3572092472220568,
30,OVERALL,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0.49071498247769074,0.3617716395537627,
30,OVERALL,FROZEN_FULL_TRANSITION_SAFETTA,0.6234148632537303,0.4715025939376955,
