path,relpath,size_bytes,sha256,suffix,category,syntax_ok,route_tokens
F:\MEDSEG_SAFETTA\outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\S07_F_SCRR_REPRESENTATION_FEASIBILITY_LOCK.json,outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\S07_F_SCRR_REPRESENTATION_FEASIBILITY_LOCK.json,1309,fce42d3581fe741c0182b6fd88eaf2b5a41c9c5f0d141d0961bee68bdb05efe9,.json,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\scrr_fold_training_summary.csv,outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\scrr_fold_training_summary.csv,1322,768d22e6a56e08a2ac95e7b95fc204a660ac661321769cddc2fb0a0655731f79,.csv,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\SCRR_SOURCE_SIDE_TENSOR_CACHE_LOCK.json,outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\SCRR_SOURCE_SIDE_TENSOR_CACHE_LOCK.json,851,62e54c7205883ce0530ee7fd0b876d322123202096f8f01247ee00179c8f4307,.json,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\scrr_source_side_tensor_manifest.csv,outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\scrr_source_side_tensor_manifest.csv,2485644,0990d713571dc8409430478787c51b89cac295072a76d549f398bf6f6643d934,.csv,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\summary.txt,outputs\S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1\summary.txt,2080,3cb3f8c3a6945e717a687c2d9f7dbe8ac76f687f3775cd3febb6bd9144deb1a1,.txt,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_H_v4_scrr_tristate_source_grouped_oof_v1\S07_H_V4_TRISTATE_SOURCE_SIDE_OOF_LOCK.json,outputs\S07_H_v4_scrr_tristate_source_grouped_oof_v1\S07_H_V4_TRISTATE_SOURCE_SIDE_OOF_LOCK.json,1332,f682d7da7951ec645c0f84fea71bb43a873ac973045e19a38df684ce2c4f31a4,.json,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_H_v4_scrr_tristate_source_grouped_oof_v1\summary.txt,outputs\S07_H_v4_scrr_tristate_source_grouped_oof_v1\summary.txt,2064,a9b3bc95c846700d23515f932ae161037ea8b9626b44fc16f1f66dd24049bbdb,.txt,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\outputs\S07_H_v4_scrr_tristate_source_grouped_oof_v1\v4_fold_training_summary.csv,outputs\S07_H_v4_scrr_tristate_source_grouped_oof_v1\v4_fold_training_summary.csv,1196,8d16e496712859b3f8a44c8c7da9523c9325ac3b8a44fdf6f80e3f1502541821,.csv,protocol_or_result_sidecar,,
F:\MEDSEG_SAFETTA\code\__pycache__\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1.cpython-310.pyc,code\__pycache__\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1.cpython-310.pyc,15797,64fb9f441ef0196e1376c399331000429d146a326575dd5739e3740e8aca488a,.pyc,route_binary_or_large_artifact,,Q1_R10K2A
F:\MEDSEG_SAFETTA\code\__pycache__\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.cpython-310.pyc,code\__pycache__\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.cpython-310.pyc,40006,e32c688959871114e291a4ea5d3c35607bfc3238b5c8479f4416702a0d45d66b,.pyc,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\code\__pycache__\Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4.cpython-310.pyc,code\__pycache__\Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4.cpython-310.pyc,27227,bc5f8ed494407915a7195e6e87bf807a805f5f220f4a5f774d4dcd7ab9cf2a7f,.pyc,route_binary_or_large_artifact,,Q1X_CM4A_
F:\MEDSEG_SAFETTA\code\__pycache__\Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.cpython-310.pyc,code\__pycache__\Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1.cpython-310.pyc,27838,7157a4e73be08b87ac2b4ef67b0ab7676217065cf9717ccc017eace4dd966be2,.pyc,route_binary_or_large_artifact,,Q1X_CM4B_
F:\MEDSEG_SAFETTA\code\__pycache__\Q1X_CM4C_final_source_safety_estimator_and_threshold_lock_fix2.cpython-310.pyc,code\__pycache__\Q1X_CM4C_final_source_safety_estimator_and_threshold_lock_fix2.cpython-310.pyc,17667,a54612fb705c19c6f72b29daf9e60a49728b0f3af25fe8f303ffd9d43203b275,.pyc,route_binary_or_large_artifact,,Q1X_CM4C_
F:\MEDSEG_SAFETTA\code\__pycache__\Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1.cpython-310.pyc,code\__pycache__\Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1.cpython-310.pyc,34989,05480d780f90d4b0b03f051896af9eeff09e1ca5e15186a112a2d0bbe434f5e7,.pyc,route_binary_or_large_artifact,,Q1X_CM5A_
F:\MEDSEG_SAFETTA\outputs\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1_v1\R10K2A_image_cls_features.npz,outputs\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1_v1\R10K2A_image_cls_features.npz,1442754,e8251ce40024218e1b9a4720e67776a087c7d1ba25cabfc4a9ddb20c300e4000,.npz,route_binary_or_large_artifact,,Q1_R10K2A
F:\MEDSEG_SAFETTA\outputs\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1_v1\R10K2A_mask_conditioned_dinov2_features.npz,outputs\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1_v1\R10K2A_mask_conditioned_dinov2_features.npz,25424247,87ef5ddc61d8fd9330d7d1b075c7d8164d1059c92b52bdedd36e14cb10dae8e1,.npz,route_binary_or_large_artifact,,Q1_R10K2A
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1\source_cache\source_images_f16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1\source_cache\source_images_f16.npy,880461952,e5b45a6745d595bcf9243a738e7b10629b46caa6155d14f690a684d51300e7ca,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1\source_cache\source_masks_u8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1\source_cache\source_masks_u8.npy,440231040,407308e537bf641f863f2cc99b60f7d5a4264d0b55a58dda0d6dd2f720309044,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1\source_cache\source_images_f16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1\source_cache\source_images_f16.npy,880461952,e5b45a6745d595bcf9243a738e7b10629b46caa6155d14f690a684d51300e7ca,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1\source_cache\source_masks_u8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1\source_cache\source_masks_u8.npy,440231040,407308e537bf641f863f2cc99b60f7d5a4264d0b55a58dda0d6dd2f720309044,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_DeepLabV3_R50_OOF_MASK_U8.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_DeepLabV3_R50_OOF_MASK_U8.npy,440231040,a7167bf4ba40bcc5c694877895b1b368293548b41390b4c3e7673cb0d00aa5b0,.npy,route_binary_or_large_artifact,,Q1X_CM3_
F:\MEDSEG_SAFETTA\outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_DeepLabV3_R50_OOF_PROB_F16.npy,outputs\Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1\CM3_DeepLabV3_R50_OOF_PROB_F16.npy,880461952,5e21bbf062bc27f9c4009dcd85174e456b299adaa077adb6632407dad2f22e63,.npy,route_binary_or_large_artifact,,Q1X_CM3_
