setting,policy,requested_coverage,adaptation_coverage,adapted_rows,total_rows,harm_rate_among_adapted,benefit_rate_among_adapted,prevented_harm_fraction,withheld_benefit_fraction,mean_deployed_dice,median_deployed_dice,mean_delta_vs_source,mean_delta_vs_adapt_all,source_mean_dice,adapt_all_mean_dice,total_harm_rows,total_benefit_rows,adapted_harm_rows,adapted_benefit_rows
PolypGen_TENT1,RISK_RANKED,1.0,1.0,13788,13788,0.34051348999129677,0.14367565999419785,0.0,0.0,0.6611614503547771,0.8579696616102683,-0.08440333887525897,0.0,0.7455647892300361,0.6611614503547771,4695,1981,4695,1981
PolypGen_TENT1,RISK_RANKED,0.9,0.8999854946330142,12409,13788,0.30526230961398987,0.14892416794262228,0.1931842385516507,0.06713780918727916,0.6858121414118756,0.8751597784405625,-0.059752647818160476,0.024650691057098495,0.7455647892300361,0.6611614503547771,4695,1981,3788,1848
PolypGen_TENT1,RISK_RANKED,0.8,0.7999709892660284,11030,13788,0.2774252039891206,0.15439709882139618,0.34824281150159747,0.14033316506814741,0.7004938203317859,0.8847145975262914,-0.04507096889825024,0.03933236997700873,0.7455647892300361,0.6611614503547771,4695,1981,3060,1703
PolypGen_TENT1,RISK_RANKED,0.7,0.7000290107339716,9652,13788,0.2577704102776627,0.15489017820140905,0.4700745473908413,0.2453306410903584,0.7087321521029133,0.889437585733882,-0.036832637127122814,0.04757070174813616,0.7455647892300361,0.6611614503547771,4695,1981,2488,1495
PolypGen_TENT1,RISK_RANKED,0.6,0.6000145053669858,8273,13788,0.24150852169708692,0.15580805028405656,0.5744408945686901,0.3493185259969712,0.7130498843547194,0.8918393782383419,-0.03251490487531672,0.05188843399994225,0.7455647892300361,0.6611614503547771,4695,1981,1998,1289
PolypGen_TENT1,RISK_RANKED,0.5,0.5,6894,13788,0.22903974470554106,0.15317667536988686,0.6636847710330138,0.4669358909641595,0.7155900580815266,0.8945846984004625,-0.02997473114850946,0.05442860772674951,0.7455647892300361,0.6611614503547771,4695,1981,1579,1056
PolypGen_TENT1,RISK_RANKED,0.4,0.3999854946330142,5515,13788,0.23245693563009973,0.15176790571169538,0.7269435569755058,0.5774861181221606,0.7171368515044875,0.8958490566037736,-0.028427937725548635,0.055975401149710335,0.7455647892300361,0.6611614503547771,4695,1981,1282,837
PolypGen_TENT1,RISK_RANKED,0.3,0.29997098926602844,4136,13788,0.2279980657640232,0.1627176015473888,0.7991480298189564,0.6602725896012115,0.7197885743302435,0.8984296692281991,-0.02577621489979265,0.05862712397546632,0.7455647892300361,0.6611614503547771,4695,1981,943,673
PolypGen_TENT1,RISK_RANKED,0.2,0.20002901073397156,2758,13788,0.26794778825235677,0.1798404641044235,0.8425985090521831,0.7496214033316507,0.7205159714575309,0.8989180834621329,-0.025048817772505227,0.05935452110275374,0.7455647892300361,0.6611614503547771,4695,1981,739,496
PolypGen_TENT1,RISK_RANKED,0.1,0.10001450536698578,1379,13788,0.3778100072516316,0.3009427121102248,0.8890308839190628,0.790509843513377,0.7225760234027341,0.9016109045848822,-0.022988765827302027,0.061414573047956944,0.7455647892300361,0.6611614503547771,4695,1981,521,415
