setting,policy,threshold,metric,bootstrap_valid,bootstrap_mean,ci95_low,ci95_high
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,harm_rate_among_adapted,2000,0.2290485868159782,0.21129028028941918,0.24732556372595993
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,benefit_rate_among_adapted,2000,0.15147490619971293,0.13692833667603496,0.16643609476094443
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,prevented_harm_fraction,2000,0.688474095184275,0.6593381034802497,0.715668284650819
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,withheld_benefit_fraction,2000,0.5120957513830857,0.4800158438470268,0.5438736277688497
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,mean_deployed_dice,2000,0.716332527875056,0.7003129930080317,0.7316575056862269
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,median_deployed_dice,2000,0.8946164972178305,0.8859009990663965,0.9025031109026393
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,mean_delta_vs_source,2000,-0.029311026700310595,-0.03631355353057293,-0.022585341096686053
PolypGen_TENT1,FROZEN_THRESHOLD,0.300584763193734,mean_delta_vs_adapt_all,2000,0.055018921919973915,0.04932510090103013,0.06094744212666323
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,harm_rate_among_adapted,2000,0.14000570881969832,0.1038119773567239,0.18134336020730446
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,benefit_rate_among_adapted,2000,0.29387588551086535,0.23365055492168862,0.3610003459417881
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,prevented_harm_fraction,2000,0.6790003443908941,0.57979487159613,0.768109475436691
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,withheld_benefit_fraction,2000,0.47956049277545004,0.4254256134892704,0.5342799094256991
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,mean_deployed_dice,2000,0.7278098716883731,0.6712640522549113,0.7814159620637074
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,median_deployed_dice,2000,0.8860312174006076,0.8436608659494068,0.9167982877550819
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,mean_delta_vs_source,2000,0.04212152391076708,0.02712427546724242,0.05687263620412254
SUN_TENT1,FROZEN_THRESHOLD,0.300584763193734,mean_delta_vs_adapt_all,2000,0.0024436639703821397,-0.009572868853372666,0.01442016130398649
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,harm_rate_among_adapted,2000,0.07683740767707468,0.058312333407375815,0.09757842290311043
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,benefit_rate_among_adapted,2000,0.06431964729520448,0.04900171967214758,0.08128727194683123
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,prevented_harm_fraction,2000,0.6707484448811654,0.5797112728804832,0.7523544633942579
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,withheld_benefit_fraction,2000,0.7122273802678118,0.6358536973575035,0.783842856207867
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,mean_deployed_dice,2000,0.6870748380944898,0.622051808718287,0.7491250434565067
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,median_deployed_dice,2000,0.8850573891435923,0.8414112606727819,0.9147162627099331
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,mean_delta_vs_source,2000,0.0013864903168837213,-0.00017062983120293693,0.0031106902874176606
SUN_PL_CONF90,FROZEN_THRESHOLD,0.300584763193734,mean_delta_vs_adapt_all,2000,-0.0016124072099094583,-0.003147495110730153,-4.437449072246521e-08
