setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean_delta,ci95_low,ci95_high
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_source,2000,0.018159885951941648,0.013597290804051117,0.02253706240732276
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_adapt_all,2000,0.018159885951941648,0.01359729080405111,0.022537062407322766
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,harm_rate_among_adapted,2000,-0.110370394545982,-0.1242384682332463,-0.09573179576443284
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,benefit_rate_among_adapted,2000,0.009050261096605745,0.00014505366985784196,0.017914128227444148
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,prevented_harm_fraction,2000,0.16208706594867542,0.1412660642425329,0.18185910623880733
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,withheld_benefit_fraction,2000,-0.031471025531494556,-0.0614232731541906,-0.00048103827616881
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_deployed_dice,2000,0.012134003770769458,0.00734921383060691,0.016627197760803087
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_source,2000,0.012134003770769458,0.007349213830606965,0.016627197760803087
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_adapt_all,2000,0.012134003770769458,0.00734921383060691,0.016627197760803087
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,harm_rate_among_adapted,2000,-0.10767077026523385,-0.12491919570304474,-0.08963234516671441
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,benefit_rate_among_adapted,2000,0.008362020872473494,-0.0024635761423929987,0.01882763790553548
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,prevented_harm_fraction,2000,0.12648644745661022,0.1057498494994463,0.1468161266477443
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,withheld_benefit_fraction,2000,-0.023225606946075065,-0.05267393052849513,0.006937628287353466
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_deployed_dice,2000,0.005241840118964257,0.0002996765660162576,0.009975792977837203
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_source,2000,0.005241840118964256,0.0002996765660163117,0.009975792977837189
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_adapt_all,2000,0.005241840118964257,0.0002996765660162576,0.009975792977837203
