setting,policy,requested_coverage,metric,selective_value,random_expected_value,delta
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.6,mean_delta_vs_adapt_all,0.05188843399994225,0.03376011124869838,0.018128322751243875
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,harm_rate_among_adapted,0.22903974470554106,0.34051348999129677,-0.11147374528575571
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,benefit_rate_among_adapted,0.15317667536988686,0.14367565999419785,0.00950101537568901
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,prevented_harm_fraction,0.6636847710330138,0.5,0.16368477103301382
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,withheld_benefit_fraction,0.4669358909641595,0.5,-0.033064109035840505
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_deployed_dice,0.7155900580815266,0.7033631197924066,0.012226938289120026
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_source,-0.02997473114850946,-0.042201669437629485,0.012226938289120026
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.5,mean_delta_vs_adapt_all,0.05442860772674951,0.042201669437629485,0.012226938289120026
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,harm_rate_among_adapted,0.23245693563009973,0.34051348999129677,-0.10805655436119704
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,benefit_rate_among_adapted,0.15176790571169538,0.14367565999419785,0.008092245717497532
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,prevented_harm_fraction,0.7269435569755058,0.6000145053669859,0.12692905160851997
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,withheld_benefit_fraction,0.5774861181221606,0.6000145053669859,-0.02252838724482531
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_deployed_dice,0.7171368515044875,0.7118046779813377,0.005332173523149741
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_source,-0.028427937725548635,-0.03376011124869838,0.005332173523149741
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.4,mean_delta_vs_adapt_all,0.055975401149710335,0.050643227626560594,0.005332173523149741
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,harm_rate_among_adapted,0.2279980657640232,0.34051348999129677,-0.11251542422727356
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,benefit_rate_among_adapted,0.1627176015473888,0.14367565999419785,0.019041941553190944
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,prevented_harm_fraction,0.7991480298189564,0.7000290107339715,0.09911901908498488
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,withheld_benefit_fraction,0.6602725896012115,0.7000290107339715,-0.03975642113276001
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_deployed_dice,0.7197885743302435,0.7202462361702688,-0.0004576618400253807
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_source,-0.02577621489979265,-0.02531855305976727,-0.0004576618400253772
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.3,mean_delta_vs_adapt_all,0.05862712397546632,0.0590847858154917,-0.0004576618400253807
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,harm_rate_among_adapted,0.26794778825235677,0.34051348999129677,-0.07256570173894
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,benefit_rate_among_adapted,0.1798404641044235,0.14367565999419785,0.03616480411022566
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,prevented_harm_fraction,0.8425985090521831,0.7999709892660285,0.042627519786154644
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,withheld_benefit_fraction,0.7496214033316507,0.7999709892660285,-0.05034958593437777
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_deployed_dice,0.7205159714575309,0.7286816728521739,-0.00816570139464301
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_delta_vs_source,-0.025048817772505227,-0.016883116377862214,-0.008165701394643014
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.2,mean_delta_vs_adapt_all,0.05935452110275374,0.06752022249739675,-0.00816570139464301
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,harm_rate_among_adapted,0.3778100072516316,0.34051348999129677,0.03729651726033484
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,benefit_rate_among_adapted,0.3009427121102248,0.14367565999419785,0.15726705211602693
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,prevented_harm_fraction,0.8890308839190628,0.8999854946330142,-0.01095461071395143
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,withheld_benefit_fraction,0.790509843513377,0.8999854946330142,-0.1094756511196372
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_deployed_dice,0.7225760234027341,0.737123231041105,-0.014547207638370918
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_delta_vs_source,-0.022988765827302027,-0.008441558188931107,-0.01454720763837092
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.1,mean_delta_vs_adapt_all,0.061414573047956944,0.07596178068632786,-0.014547207638370918
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,harm_rate_among_adapted,,,
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,benefit_rate_among_adapted,,,
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,prevented_harm_fraction,1.0,1.0,0.0
PolypGen_TENT1,RISK_RANKED_MINUS_RANDOM_EXPECTATION,0.0,withheld_benefit_fraction,1.0,1.0,0.0
