setting,policy,requested_coverage,metric,bootstrap_valid,bootstrap_mean,ci95_low,ci95_high
PolypGen_TENT1,RISK_RANKED,0.5,prevented_harm_fraction,2000,0.6620870659486754,0.641266064242533,0.6818591062388073
PolypGen_TENT1,RISK_RANKED,0.5,withheld_benefit_fraction,2000,0.46852897446850544,0.4385767268458094,0.4995189617238312
PolypGen_TENT1,RISK_RANKED,0.5,mean_deployed_dice,2000,0.7156125840359938,0.6996575872828784,0.7310788750602851
PolypGen_TENT1,RISK_RANKED,0.5,median_deployed_dice,2000,0.8942668093222208,0.8854698592977108,0.9021772321637177
PolypGen_TENT1,RISK_RANKED,0.5,mean_delta_vs_source,2000,-0.030030970539372794,-0.03703020768361886,-0.023297854950938696
PolypGen_TENT1,RISK_RANKED,0.5,mean_delta_vs_adapt_all,2000,0.05429897808091171,0.048858931590014504,0.059893340321489096
PolypGen_TENT1,RISK_RANKED,0.4,harm_rate_among_adapted,2000,0.23283916591115142,0.21250679963735267,0.25312783318223026
PolypGen_TENT1,RISK_RANKED,0.4,benefit_rate_among_adapted,2000,0.15208757932910244,0.13671804170444243,0.16808703535811423
PolypGen_TENT1,RISK_RANKED,0.4,prevented_harm_fraction,2000,0.7265009528235961,0.7057643548664322,0.7468306320147302
PolypGen_TENT1,RISK_RANKED,0.4,withheld_benefit_fraction,2000,0.5767888984209107,0.5473405748384907,0.6069521336543393
PolypGen_TENT1,RISK_RANKED,0.4,mean_deployed_dice,2000,0.7171546384830697,0.7009204372567617,0.7325851722741709
PolypGen_TENT1,RISK_RANKED,0.4,median_deployed_dice,2000,0.8955327704268148,0.8867562380038387,0.9035087719298246
PolypGen_TENT1,RISK_RANKED,0.4,mean_delta_vs_source,2000,-0.02848891609229692,-0.03539790374170528,-0.02175895204416483
PolypGen_TENT1,RISK_RANKED,0.4,mean_delta_vs_adapt_all,2000,0.0558410325279876,0.05012937779975617,0.06170933124571
PolypGen_TENT1,RISK_RANKED,0.3,harm_rate_among_adapted,2000,0.2287896518375242,0.20502296905222436,0.2545938104448743
PolypGen_TENT1,RISK_RANKED,0.3,benefit_rate_among_adapted,2000,0.16292734526112185,0.1448198742746615,0.18157640232108319
PolypGen_TENT1,RISK_RANKED,0.3,prevented_harm_fraction,2000,0.7984718932878035,0.7784160368489644,0.8171797856071655
PolypGen_TENT1,RISK_RANKED,0.3,withheld_benefit_fraction,2000,0.6600109479345606,0.631811109696624,0.689317703095554
PolypGen_TENT1,RISK_RANKED,0.3,mean_deployed_dice,2000,0.7198515751097143,0.7037495522682641,0.7351925813736001
PolypGen_TENT1,RISK_RANKED,0.3,median_deployed_dice,2000,0.8980966746634703,0.889861442841333,0.905422983155019
PolypGen_TENT1,RISK_RANKED,0.3,mean_delta_vs_source,2000,-0.025791979465652204,-0.03245004726611707,-0.01914099393953475
PolypGen_TENT1,RISK_RANKED,0.3,mean_delta_vs_adapt_all,2000,0.05853796915463231,0.05273025637591486,0.06449899567358094
PolypGen_TENT1,RISK_RANKED,0.2,harm_rate_among_adapted,2000,0.26655837563451773,0.233502538071066,0.3009427121102248
PolypGen_TENT1,RISK_RANKED,0.2,benefit_rate_among_adapted,2000,0.17953934010152284,0.1555474981870921,0.20268310369833212
PolypGen_TENT1,RISK_RANKED,0.2,prevented_harm_fraction,2000,0.8434168163690204,0.8240459879967384,0.8618195127596783
PolypGen_TENT1,RISK_RANKED,0.2,withheld_benefit_fraction,2000,0.7501960947139377,0.7246435722019586,0.7776147765278201
PolypGen_TENT1,RISK_RANKED,0.2,mean_deployed_dice,2000,0.7206146889454074,0.7046184313572519,0.7360601976337936
PolypGen_TENT1,RISK_RANKED,0.2,median_deployed_dice,2000,0.89890120438451,0.8907048008171604,0.9064411754510078
PolypGen_TENT1,RISK_RANKED,0.2,mean_delta_vs_source,2000,-0.025028865629959193,-0.03180818258054581,-0.01865948019776186
PolypGen_TENT1,RISK_RANKED,0.2,mean_delta_vs_adapt_all,2000,0.05930108299032531,0.05345863761829188,0.06532936549061036
PolypGen_TENT1,RISK_RANKED,0.1,harm_rate_among_adapted,2000,0.37730783176214644,0.31907179115300943,0.43874184191443066
PolypGen_TENT1,RISK_RANKED,0.1,benefit_rate_among_adapted,2000,0.30124184191443076,0.25453226976069615,0.34664612037708475
PolypGen_TENT1,RISK_RANKED,0.1,prevented_harm_fraction,2000,0.8891698017797973,0.8714164568666979,0.905885283288104
PolypGen_TENT1,RISK_RANKED,0.1,withheld_benefit_fraction,2000,0.79045100236197,0.7646462195813882,0.8163913646089433
PolypGen_TENT1,RISK_RANKED,0.1,mean_deployed_dice,2000,0.7226782503588024,0.7068712857064533,0.7381809506180158
PolypGen_TENT1,RISK_RANKED,0.1,median_deployed_dice,2000,0.9014267260181301,0.8937919456103998,0.9088639581075321
PolypGen_TENT1,RISK_RANKED,0.1,mean_delta_vs_source,2000,-0.02296530421656407,-0.029515960352041248,-0.01657017919279698
PolypGen_TENT1,RISK_RANKED,0.1,mean_delta_vs_adapt_all,2000,0.061364644403720435,0.055526516940520854,0.06750419518154561
PolypGen_TENT1,RISK_RANKED,0.0,harm_rate_among_adapted,0,,,
PolypGen_TENT1,RISK_RANKED,0.0,benefit_rate_among_adapted,0,,,
PolypGen_TENT1,RISK_RANKED,0.0,prevented_harm_fraction,2000,1.0,1.0,1.0
PolypGen_TENT1,RISK_RANKED,0.0,withheld_benefit_fraction,2000,1.0,1.0,1.0
PolypGen_TENT1,RISK_RANKED,0.0,mean_deployed_dice,2000,0.7456435545753666,0.7323249287306713,0.7592176508505116
PolypGen_TENT1,RISK_RANKED,0.0,median_deployed_dice,2000,0.9126947699380178,0.9064403026388632,0.9184360742055003
PolypGen_TENT1,RISK_RANKED,0.0,mean_delta_vs_source,2000,0.0,0.0,0.0
PolypGen_TENT1,RISK_RANKED,0.0,mean_delta_vs_adapt_all,2000,0.0843299486202845,0.07599586670095207,0.09322561330278263
SUN_TENT1,RISK_RANKED,1.0,harm_rate_among_adapted,2000,0.22542732426303855,0.1971626984126984,0.2572619047619047
SUN_TENT1,RISK_RANKED,1.0,benefit_rate_among_adapted,2000,0.29025096371882086,0.24784297052154194,0.33458049886621316
SUN_TENT1,RISK_RANKED,1.0,prevented_harm_fraction,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED,1.0,withheld_benefit_fraction,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED,1.0,mean_deployed_dice,2000,0.725366207717991,0.6690926608159172,0.7781954751923397
SUN_TENT1,RISK_RANKED,1.0,median_deployed_dice,2000,0.8803380752185981,0.8341651516984624,0.914869875286034
SUN_TENT1,RISK_RANKED,1.0,mean_delta_vs_source,2000,0.03967785994038493,0.017764721118623927,0.062468000214910405
SUN_TENT1,RISK_RANKED,1.0,mean_delta_vs_adapt_all,2000,0.0,0.0,0.0
SUN_TENT1,RISK_RANKED,0.9,harm_rate_among_adapted,2000,0.20701656588561348,0.17812736205593346,0.23923532375913326
SUN_TENT1,RISK_RANKED,0.9,benefit_rate_among_adapted,2000,0.293486079617032,0.25005983875031496,0.3377456538170824
